{'model': 'vgae', 'task': 'train', 'dataset': 'dblp', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on dblp ---
Starting Stage 1 (VGAE) training on dblp...
Epoch 94 | Train Loss: 6.0997 | Val Loss: 6.2911 | LS: 0.0024 | LX: 4.4510 | LA: 1.3782 | HGR: 0.0726 | KL: 1.9801 | Ent: -0.0119 | Time: 0.09s
Epoch 95 | Train Loss: 6.0666 | Val Loss: 6.3188 | LS: 0.0018 | LX: 4.4494 | LA: 1.3770 | HGR: 0.0206 | KL: 2.0181 | Ent: -0.0099 | Time: 0.09s
Epoch 96 | Train Loss: 6.0324 | Val Loss: 6.3818 | LS: 0.0025 | LX: 4.4490 | LA: 1.3772 | HGR: -0.0545 | KL: 1.9606 | Ent: -0.0120 | Time: 0.09s
Epoch 97 | Train Loss: 6.0978 | Val Loss: 6.4921 | LS: 0.0034 | LX: 4.4461 | LA: 1.3771 | HGR: 0.0627 | KL: 1.9473 | Ent: -0.0142 | Time: 0.09s
Epoch 98 | Train Loss: 6.0846 | Val Loss: 6.6565 | LS: 0.0034 | LX: 4.4431 | LA: 1.3759 | HGR: 0.0434 | KL: 1.9723 | Ent: -0.0128 | Time: 0.09s
Epoch 99 | Train Loss: 6.0708 | Val Loss: 6.7741 | LS: 0.0034 | LX: 4.4461 | LA: 1.3757 | HGR: -0.0086 | KL: 2.0804 | Ent: -0.0108 | Time: 0.09s
Epoch 100 | Train Loss: 6.0921 | Val Loss: 6.6096 | LS: 0.0027 | LX: 4.4473 | LA: 1.3755 | HGR: 0.0341 | KL: 2.1338 | Ent: -0.0118 | Time: 0.09s
Epoch 101 | Train Loss: 6.1262 | Val Loss: 6.5223 | LS: 0.0028 | LX: 4.4446 | LA: 1.3744 | HGR: 0.1208 | KL: 2.0653 | Ent: -0.0126 | Time: 0.09s
Epoch 102 | Train Loss: 6.1489 | Val Loss: 6.4191 | LS: 0.0026 | LX: 4.4431 | LA: 1.3738 | HGR: 0.1780 | KL: 2.0513 | Ent: -0.0115 | Time: 0.09s
Epoch 103 | Train Loss: 6.1180 | Val Loss: 6.3515 | LS: 0.0045 | LX: 4.4416 | LA: 1.3723 | HGR: 0.0905 | KL: 1.9922 | Ent: -0.0143 | Time: 0.09s
Epoch 104 | Train Loss: 6.1146 | Val Loss: 6.3351 | LS: 0.0039 | LX: 4.4416 | LA: 1.3713 | HGR: 0.0935 | KL: 2.0340 | Ent: -0.0126 | Time: 0.09s
Epoch 105 | Train Loss: 6.1414 | Val Loss: 6.2760 | LS: 0.0062 | LX: 4.4431 | LA: 1.3722 | HGR: 0.0912 | KL: 2.0662 | Ent: -0.0122 | Time: 0.09s
Epoch 106 | Train Loss: 6.1528 | Val Loss: 6.2287 | LS: 0.0024 | LX: 4.4456 | LA: 1.3720 | HGR: 0.1988 | KL: 1.9994 | Ent: -0.0115 | Time: 0.09s
Epoch 107 | Train Loss: 6.1540 | Val Loss: 6.1792 | LS: 0.0088 | LX: 4.4412 | LA: 1.3724 | HGR: 0.0972 | KL: 1.8926 | Ent: -0.0144 | Time: 0.09s
Epoch 108 | Train Loss: 6.1145 | Val Loss: 6.1329 | LS: 0.0058 | LX: 4.4433 | LA: 1.3724 | HGR: 0.0749 | KL: 1.8861 | Ent: -0.0148 | Time: 0.09s
Epoch 109 | Train Loss: 6.1683 | Val Loss: 6.0974 | LS: 0.0059 | LX: 4.4462 | LA: 1.3728 | HGR: 0.1797 | KL: 1.9324 | Ent: -0.0075 | Time: 0.09s
Early stopping at epoch 109
VGAE Training Finished. Total Time: 10.89s
