{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_n', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_n ---
Starting Stage 1 (VGAE) training on pokec_n...
Epoch 68 | Train Loss: 5.9217 | Val Loss: 4.6322 | LS: 0.2092 | LX: 1.6449 | LA: 1.3365 | HGR: -0.0040 | KL: 5.7325 | Ent: -0.2769 | Time: 0.33s
Epoch 69 | Train Loss: 5.8579 | Val Loss: 4.5734 | LS: 0.2044 | LX: 1.6395 | LA: 1.3360 | HGR: -0.0180 | KL: 5.9829 | Ent: -0.2495 | Time: 0.33s
Epoch 70 | Train Loss: 5.7034 | Val Loss: 4.5581 | LS: 0.1913 | LX: 1.6425 | LA: 1.3306 | HGR: -0.0160 | KL: 5.7678 | Ent: -0.2490 | Time: 0.33s
Epoch 71 | Train Loss: 5.6086 | Val Loss: 4.5537 | LS: 0.1817 | LX: 1.6407 | LA: 1.3264 | HGR: 0.0252 | KL: 5.7288 | Ent: -0.2389 | Time: 0.33s
Epoch 72 | Train Loss: 5.5162 | Val Loss: 4.5457 | LS: 0.1764 | LX: 1.6373 | LA: 1.3232 | HGR: -0.0067 | KL: 5.7381 | Ent: -0.2218 | Time: 0.33s
Epoch 73 | Train Loss: 5.4232 | Val Loss: 4.5583 | LS: 0.1662 | LX: 1.6407 | LA: 1.3185 | HGR: 0.0220 | KL: 5.5883 | Ent: -0.2323 | Time: 0.33s
Epoch 74 | Train Loss: 5.2891 | Val Loss: 4.6764 | LS: 0.1546 | LX: 1.6407 | LA: 1.3170 | HGR: 0.0388 | KL: 5.5775 | Ent: -0.2087 | Time: 0.33s
Epoch 75 | Train Loss: 5.4062 | Val Loss: 4.6414 | LS: 0.1645 | LX: 1.6348 | LA: 1.3193 | HGR: 0.0017 | KL: 6.1641 | Ent: -0.1900 | Time: 0.33s
Epoch 76 | Train Loss: 5.2579 | Val Loss: 4.5475 | LS: 0.1516 | LX: 1.6362 | LA: 1.3152 | HGR: 0.0103 | KL: 6.0575 | Ent: -0.1797 | Time: 0.33s
Epoch 77 | Train Loss: 5.1381 | Val Loss: 4.5594 | LS: 0.1427 | LX: 1.6424 | LA: 1.3086 | HGR: 0.0217 | KL: 5.6062 | Ent: -0.1887 | Time: 0.33s
Epoch 78 | Train Loss: 5.1475 | Val Loss: 4.5611 | LS: 0.1432 | LX: 1.6427 | LA: 1.3065 | HGR: 0.0434 | KL: 5.5863 | Ent: -0.1857 | Time: 0.33s
Epoch 79 | Train Loss: 4.8796 | Val Loss: 4.5663 | LS: 0.1199 | LX: 1.6378 | LA: 1.3055 | HGR: 0.0077 | KL: 5.6721 | Ent: -0.1658 | Time: 0.33s
Epoch 80 | Train Loss: 4.8238 | Val Loss: 4.5006 | LS: 0.1143 | LX: 1.6329 | LA: 1.3042 | HGR: 0.0374 | KL: 5.6834 | Ent: -0.1568 | Time: 0.33s
Epoch 81 | Train Loss: 4.8295 | Val Loss: 4.4993 | LS: 0.1201 | LX: 1.6325 | LA: 1.3000 | HGR: -0.0304 | KL: 5.4890 | Ent: -0.1620 | Time: 0.33s
Epoch 82 | Train Loss: 4.6352 | Val Loss: 4.6517 | LS: 0.1022 | LX: 1.6295 | LA: 1.2970 | HGR: -0.0156 | KL: 5.5117 | Ent: -0.1428 | Time: 0.33s
Epoch 83 | Train Loss: 4.9117 | Val Loss: 4.6161 | LS: 0.1231 | LX: 1.6270 | LA: 1.2998 | HGR: 0.0060 | KL: 6.1202 | Ent: -0.1393 | Time: 0.33s
Epoch 84 | Train Loss: 4.8455 | Val Loss: 4.4588 | LS: 0.1176 | LX: 1.6305 | LA: 1.2984 | HGR: 0.0028 | KL: 6.0450 | Ent: -0.1348 | Time: 0.33s
Epoch 85 | Train Loss: 4.5669 | Val Loss: 4.4346 | LS: 0.0962 | LX: 1.6372 | LA: 1.2928 | HGR: 0.0157 | KL: 5.3654 | Ent: -0.1305 | Time: 0.33s
Epoch 86 | Train Loss: 4.4896 | Val Loss: 4.4878 | LS: 0.0917 | LX: 1.6305 | LA: 1.2918 | HGR: -0.0016 | KL: 5.2425 | Ent: -0.1272 | Time: 0.33s
Epoch 87 | Train Loss: 4.4935 | Val Loss: 4.4320 | LS: 0.0917 | LX: 1.6341 | LA: 1.2920 | HGR: -0.0173 | KL: 5.3626 | Ent: -0.1229 | Time: 0.33s
Epoch 88 | Train Loss: 4.3813 | Val Loss: 4.3768 | LS: 0.0826 | LX: 1.6321 | LA: 1.2878 | HGR: 0.0019 | KL: 5.1342 | Ent: -0.1213 | Time: 0.33s
Epoch 89 | Train Loss: 4.4622 | Val Loss: 4.3773 | LS: 0.0928 | LX: 1.6281 | LA: 1.2871 | HGR: 0.0022 | KL: 4.9255 | Ent: -0.1252 | Time: 0.33s
